phase_id,task_id,started,blocked,resumed,done,failed,total_events,event_span_days
P10,P10-T1,1,0,0,1,0,2,0
P10,P10-T2,1,0,0,1,0,2,0
P10,P10-T3,1,0,0,1,0,2,0
P10,P10-T4,1,0,0,1,0,2,0
P10,P10-T5,1,0,0,1,0,2,0
P10,P10-T6,1,0,0,1,0,2,0
P11,P11-T1,1,0,0,1,0,2,0
P11,P11-T2,1,0,0,1,0,2,0
P11,P11-T3,1,0,0,1,0,2,0
P11,P11-T4,1,0,0,1,0,2,0
P11,P11-T5,1,0,0,1,0,2,0
P11,P11-T6,1,0,0,1,0,2,0
P12,P12-T1,1,0,0,1,0,2,0
P12,P12-T2,1,0,0,1,0,2,0
P12,P12-T3,1,0,0,1,0,2,0
P12,P12-T4,1,0,0,1,0,2,0
P12,P12-T5,1,0,0,1,0,2,0
P13,P13-T1,1,0,0,1,0,2,0
P13,P13-T2,1,0,0,1,0,2,0
P13,P13-T3,1,0,0,1,0,2,0.4
P13,P13-T4,1,0,0,1,0,2,0
P13,P13-T5,1,0,0,1,0,2,0
P13,P13-T6,1,0,0,1,0,2,0
P14,P14-T1,1,0,0,1,0,2,0
P14,P14-T2,1,0,0,1,0,2,0
P14,P14-T3,1,0,0,1,0,2,0
P14,P14-T4,1,0,0,1,0,2,0
P14,P14-T5,1,0,0,1,0,2,0
P14,P14-T6,1,0,0,1,0,2,0
P14,P14-T7,1,0,0,1,0,2,0
P14,P14-T8,1,0,0,1,0,2,0
P15,P15-T1,1,0,0,1,0,2,0
P15,P15-T2,1,0,0,1,0,2,0
P15,P15-T3,1,0,0,1,0,2,0
P15,P15-T4,1,0,0,1,0,2,0
P15,P15-T6,1,0,0,1,0,2,0
P16,P16-T1,1,0,0,1,0,2,0
P16,P16-T2,1,0,0,1,0,2,0
P16,P16-T3,1,0,0,1,0,2,0
P16,P16-T4,1,0,0,1,0,2,0
P16,P16-T5,1,0,0,1,0,2,0
P17,P17-T1,1,0,0,1,0,2,0
P17,P17-T2,1,0,0,1,0,2,0
P17,P17-T3,1,0,0,1,0,2,0
P17,P17-T4,1,0,0,1,0,2,0
P17,P17-T5,1,0,0,1,0,2,0
P18,P18-T1,0,0,0,1,0,1,0
P18,P18-T2,0,0,0,1,0,1,0
P18,P18-T3,0,0,0,1,0,1,0
P18,P18-T4,0,0,0,1,0,1,0
P18,P18-T5,0,0,0,1,0,1,0
P19,P19-T1,0,0,0,1,0,1,0
P19,P19-T2,0,0,0,1,0,1,0
P19,P19-T3,0,0,0,1,0,1,0
P19,P19-T4,0,0,0,1,0,1,0
P20,P20-T1,0,0,0,1,0,1,0
P20,P20-T2,0,0,0,1,0,1,0
P20,P20-T3,0,0,0,1,0,1,0
P20,P20-T4,0,0,0,1,0,1,0
P21,P21-T0,0,0,0,1,0,1,0
P21,P21-T1,1,0,0,1,0,2,0
P21,P21-T2,1,0,0,1,0,2,0
P21,P21-T3,1,0,0,1,0,2,0
P21,P21-T4,1,0,0,1,0,2,0
P21,P21-T5,1,0,0,1,0,2,0
P21,P21-T6,1,0,0,1,0,2,0
P24,P24-T0,0,0,0,1,0,1,0
P24,P24-T1,1,0,0,1,0,2,0
P24,P24-T2,1,0,0,1,0,2,0
P26,P26-T0,0,0,0,1,0,1,0
P26,P26-T1,1,0,0,1,0,2,0
P26,P26-T2,1,0,0,1,0,2,0
P26,P26-T3,1,0,0,1,0,2,0
P27,P27-T0,1,0,0,1,0,2,0
P27,P27-T1,1,0,0,1,0,2,0
P27,P27-T2,1,0,0,1,0,2,0
P27,P27-T3,1,0,0,1,0,2,0
P5,P5-T2,1,0,0,1,0,2,0
P5,P5-T3,1,0,0,1,0,2,0
P5,P5-T4,1,0,0,1,0,2,0
P5,P5-T5,1,0,0,1,0,2,0
P9,P9-T1,1,0,0,1,0,2,0
P9,P9-T2,1,0,0,1,0,2,0
P9,P9-T3,1,0,0,1,0,2,0.4
P9,P9-T4,1,0,0,1,0,2,0
P9,P9-T5,1,0,0,1,0,2,0
P9,P9-T6,1,0,0,1,0,2,0
P9,P9-T7,1,0,0,1,0,2,0
